"Student_ID","First_Name","Last_Name","Email","Gender","Age","Department","Attendance","Midterm_Score","Final_Score","Assignments_Avg","Quizzes_Avg","Participation_Score","Projects_Score","Total_Score","Grade","Study_Hours_per_Week","Extracurricular_Activities","Internet_Access_at_Home","Parent_Education_Level","Family_Income_Level","Stress_Level","Sleep_Hours_per_Night","Pass_Fail"
"S2296","John","Johnson","student1296@university.com","Female",23,"CS",78.06,67.39,64.41,69.5,61.86,8.66,97.73,67.4,"B",22.2,"No","Yes","High School","Medium",4,5.3,"Pass"
"S2299","Sara","Williams","student1299@university.com","Male",22,"Engineering",91.92,64.14,78.69,88.06,89.88,4.73,67.19,89.45,"A",25,"No","Yes","PhD","Medium",3,8.2,"Pass"
"S2300","Omar","Johnson","student1300@university.com","Female",18,"CS",59.26,84.96,48.06,62.31,58.56,2.65,95.75,86.38,"F",9.9,"No","Yes","PhD","Low",8,6.8,"Fail"
"S2301","Maria","Johnson","student1301@university.com","Male",21,"Engineering",77.74,44.38,97.24,93.13,80.42,2.89,55.63,87.63,"C",21.2,"No","Yes","PhD","Medium",1,5.5,"Pass"
"S2302","Omar","Davis","student1302@university.com","Male",21,"CS",86.11,79.57,75.58,79.45,52.57,9.81,67.94,59.62,"A",22.3,"No","Yes","PhD","High",1,6.6,"Pass"
"S2303","Emma","Smith","student1303@university.com","Female",18,"CS",95.2,82.96,77.58,73.93,77.48,8.89,74.72,95.59,"A",9.9,"Yes","Yes","Master's","Low",6,4.5,"Pass"
"S2305","Omar","Davis","student1305@university.com","Male",24,"CS",75.44,85.64,60.54,69.14,58.79,2.76,64.71,50.56,"D",23,"No","Yes","None","High",7,8.6,"Fail"
"S2307","Liam","Williams","student1307@university.com","Male",21,"Engineering",69.71,75.23,76.24,54.49,67.34,9.89,95.17,80.2,"C",12.9,"Yes","Yes","High School","Medium",3,5.5,"Pass"
"S2308","Ali","Davis","student1308@university.com","Male",19,"CS",73.41,96.47,97.27,72.98,67.19,9.07,89.97,56.3,"F",28.5,"Yes","Yes","PhD","Medium",4,6,"Fail"
"S2309","Maria","Williams","student1309@university.com","Female",23,"CS",95.31,76.65,61.59,99.67,91.32,5.52,55.72,97.99,"B",6.8,"Yes","Yes","PhD","Medium",9,8.5,"Pass"
"S2310","John","Davis","student1310@university.com","Male",21,"CS",96.54,76.68,92.99,85.83,61.28,6.93,53.91,78.08,"A",10.7,"No","Yes","Bachelor's","High",8,8.1,"Pass"
"S2311","Sara","Jones","student1311@university.com","Male",24,"Engineering",94.77,84.19,48.93,77.34,54.32,7.48,74.91,73.46,"A",19.5,"No","Yes","None","Low",4,8,"Pass"
"S2312","Ali","Smith","student1312@university.com","Female",20,"Engineering",56.92,59.99,96.17,76.65,80.18,2.04,88.27,69.91,"D",29.2,"No","Yes","PhD","Medium",10,6.8,"Fail"
"S2314","Emma","Jones","student1314@university.com","Male",19,"CS",97.42,94.97,62.78,97.87,64.74,5.27,82.07,97.64,"A",25.4,"No","Yes","High School","Low",9,4.7,"Pass"
"S2316","Sara","Jones","student1316@university.com","Female",23,"CS",75.93,92.21,83.09,84.12,88.8,3.97,86.3,78.38,"C",13.8,"No","Yes","Bachelor's","Medium",10,4.9,"Pass"
"S2317","Liam","Johnson","student1317@university.com","Female",19,"Engineering",88.95,53.12,83.18,54.95,67.38,6.02,71.77,81.56,"A",29.9,"No","Yes","PhD","Low",8,5.3,"Pass"
"S2318","Sara","Davis","student1318@university.com","Male",18,"Mathematics",78.1,67.36,68.78,60.39,76.27,3.53,84.66,92.02,"F",25.4,"No","Yes","PhD","Low",5,7.8,"Fail"
"S2319","John","Jones","student1319@university.com","Male",22,"CS",99.67,91.14,71.39,59.2,57.33,6.99,57.98,81.79,"A",11.2,"No","No","PhD","Low",9,5.8,"Pass"
"S2323","Emma","Johnson","student1323@university.com","Female",18,"Engineering",74.71,66.83,73.52,77.26,63.95,5.12,99.28,98.32,"D",13.4,"Yes","Yes","PhD","High",3,6.5,"Fail"
"S2324","Ahmed","Jones","student1324@university.com","Female",22,"Engineering",92.85,79.38,73.5,50.88,98.66,2.54,52.31,86.69,"B",14.5,"No","Yes","PhD","Medium",2,4.3,"Pass"
"S2325","Ali","Brown","student1325@university.com","Female",21,"Business",77.31,63.43,82.59,87.2,86.41,4.55,74.79,67.2,"B",15.8,"No","Yes","High School","High",7,6.4,"Pass"
"S2326","Ali","Davis","student1326@university.com","Male",24,"Engineering",70.58,61.04,83.02,59.44,79.26,2.93,66.25,56.77,"F",29.8,"No","Yes","PhD","High",3,6.3,"Fail"
"S2328","Emma","Johnson","student1328@university.com","Male",22,"CS",69.67,84.58,86.21,67.75,85.5,9.07,99.5,83.97,"C",15.7,"No","Yes","Bachelor's","Medium",9,6.2,"Pass"
"S2329","Ahmed","Jones","student1329@university.com","Male",21,"Engineering",86.7,70.09,41.18,66.93,88.17,1.56,61.76,58.86,"A",6.6,"No","No","High School","Medium",4,7.1,"Pass"
"S2331","Emma","Brown","student1331@university.com","Male",24,"Engineering",62.58,84.71,46.12,99.39,70.64,7.03,87.48,91.28,"B",6.3,"No","Yes","Master's","Medium",6,6.3,"Pass"
"S2332","Omar","Smith","student1332@university.com","Male",20,"Engineering",67.76,41.23,83.78,80.6,64.76,9.75,94.48,57.85,"F",24.2,"No","Yes","High School","Low",3,5.3,"Fail"
"S2334","Maria","Smith","student1334@university.com","Female",20,"Business",84.54,66.19,66.24,54.83,70.63,7.22,93.24,53.41,"A",29.3,"Yes","Yes","Master's","Low",8,8.5,"Pass"
"S2335","Emma","Jones","student1335@university.com","Male",23,"Engineering",98.01,67.4,81.44,84.96,80.81,5.18,53.16,50.4,"A",8,"No","Yes","Master's","Medium",10,8.5,"Pass"
"S2336","John","Davis","student1336@university.com","Female",21,"Business",82.05,89.1,42.18,64.14,58.92,0.69,82.03,51.63,"A",29.5,"Yes","Yes","None","Low",4,5.4,"Pass"
"S2337","Emma","Davis","student1337@university.com","Female",20,"CS",80.85,72.86,53.41,99.41,65.25,0.47,85.01,81.58,"D",15.3,"No","Yes","High School","Medium",6,5.6,"Fail"
"S2338","Emma","Jones","student1338@university.com","Male",20,"Engineering",77.67,93.14,76.99,97.53,81.96,1.22,59.52,98.67,"C",20.8,"Yes","Yes","Bachelor's","High",2,8.6,"Pass"
"S2339","Emma","Jones","student1339@university.com","Male",24,"Mathematics",54.42,82.77,90.83,86.76,78.97,2.96,88.9,88.57,"D",5,"No","Yes","PhD","Medium",4,4.6,"Fail"
"S2341","Liam","Jones","student1341@university.com","Male",24,"Business",80.1,85.27,55.53,55.28,89.56,7.28,94.9,53.58,"C",13.8,"No","Yes","None","Low",2,5.5,"Pass"
"S2344","Omar","Johnson","student1344@university.com","Male",23,"Engineering",89.2,45,65.21,53.6,84.92,3.1,74.98,89.63,"A",22.3,"No","Yes","PhD","High",8,6,"Pass"
"S2345","John","Davis","student1345@university.com","Male",23,"CS",89.05,66.25,92.6,98.61,93.03,9.38,57.92,62.16,"A",19.9,"No","Yes","PhD","Medium",3,4.8,"Pass"
"S2347","Omar","Davis","student1347@university.com","Male",24,"Business",99.5,99.06,42.15,92.83,85.94,4.95,58.08,67.2,"A",29.6,"Yes","Yes","PhD","Low",6,4.3,"Pass"
"S2348","Liam","Williams","student1348@university.com","Male",22,"CS",79.06,72.54,53.38,88.41,75.01,6.68,88.07,88.18,"A",5.1,"No","Yes","PhD","Medium",3,4.1,"Pass"
"S2349","Ahmed","Jones","student1349@university.com","Male",18,"CS",55.44,79.74,67.04,68.79,63.66,7.03,67.07,63.29,"D",13.4,"Yes","Yes","Bachelor's","Medium",2,8.4,"Fail"
"S2354","Sara","Williams","student1354@university.com","Male",20,"CS",53.36,68.42,71.95,72.9,65.74,9.12,83.86,63.17,"F",6.2,"No","Yes","Bachelor's","Low",2,4.3,"Fail"
"S2355","Maria","Smith","student1355@university.com","Male",19,"CS",86.55,71.06,41.14,79.26,71.24,6.85,88.88,54.59,"A",26.6,"Yes","Yes","Master's","Low",7,5.1,"Pass"
"S2357","John","Jones","student1357@university.com","Male",21,"Mathematics",68.44,86.13,87.33,68.87,94.64,9.46,57.62,59.23,"C",7.8,"No","Yes","Bachelor's","Medium",6,5.3,"Pass"
"S2360","Emma","Brown","student1360@university.com","Male",21,"CS",66.05,73.79,58.95,66.63,53.89,7.67,61.83,94.05,"C",5.9,"No","Yes","Bachelor's","Medium",4,7.6,"Pass"
"S2361","Emma","Brown","student1361@university.com","Male",22,"CS",63.27,80.15,81.53,64.34,70.48,1.11,61.48,66.37,"B",20.6,"No","Yes","Bachelor's","Medium",3,5.1,"Pass"
"S2362","Ali","Williams","student1362@university.com","Male",21,"CS",82.62,59.65,89.14,88.22,74.33,8.3,54.4,88.74,"F",13.3,"No","Yes","Bachelor's","Medium",2,6.1,"Fail"
"S2363","Emma","Jones","student1363@university.com","Male",24,"Business",77.95,64.56,84.45,96.71,88.28,2.53,57.51,97.43,"A",20.6,"No","Yes","High School","Medium",4,6.6,"Pass"
"S2365","Emma","Jones","student1365@university.com","Female",21,"Business",82.07,98.76,91.86,56.87,66.86,4.05,79.49,76.24,"F",29.2,"No","Yes","Bachelor's","High",3,6.4,"Fail"
"S2367","Emma","Williams","student1367@university.com","Male",23,"Engineering",89.74,99.76,50.96,54.64,82.37,3.1,57.48,82.8,"A",8.9,"No","Yes","None","Medium",7,7.7,"Pass"
"S2368","Ali","Jones","student1368@university.com","Female",21,"CS",61.47,69.39,58.29,98.05,66.43,8.55,87.57,56.42,"C",6.1,"No","Yes","High School","Low",6,6.5,"Pass"
"S2369","Sara","Williams","student1369@university.com","Female",18,"Engineering",57.94,53.19,78.17,60.76,99.28,7.69,78.68,94.42,"F",24.9,"No","Yes","PhD","Low",1,4.6,"Fail"
"S2370","Omar","Williams","student1370@university.com","Male",20,"CS",89.12,70.45,83.98,59.87,93.79,5.23,97,73.43,"A",7.3,"No","Yes","None","Medium",9,4.1,"Pass"
"S2371","John","Jones","student1371@university.com","Male",19,"CS",85.39,42.38,72.08,94.44,64.82,6.64,89.91,57.63,"B",11.9,"Yes","Yes","Bachelor's","Low",6,4.3,"Pass"
"S2372","Liam","Jones","student1372@university.com","Female",24,"Engineering",59.13,94.29,44.44,98.39,75.4,9.85,92.64,89.57,"C",10.1,"No","Yes","Bachelor's","Medium",5,7.8,"Pass"
"S2373","Sara","Smith","student1373@university.com","Male",19,"Engineering",55.81,89.11,90.5,84.88,61.54,3.98,81.96,81.22,"C",13.8,"No","Yes","Bachelor's","Medium",1,7.5,"Pass"
"S2375","Ahmed","Brown","student1375@university.com","Male",20,"Engineering",88.83,76.59,64.33,74.29,84.17,5.34,67.54,91.37,"A",28.8,"No","Yes","None","Low",5,5.5,"Pass"
"S2378","Emma","Jones","student1378@university.com","Male",19,"Engineering",56.21,56.68,54.24,56.63,79.69,9.86,86.72,86.69,"F",15.4,"No","Yes","Master's","Low",6,8.6,"Fail"
"S2380","Emma","Davis","student1380@university.com","Male",19,"Business",50.94,74.88,94.7,93.21,51.28,1.09,93.35,53.49,"F",24.4,"No","Yes","High School","Medium",3,7.8,"Fail"
"S2383","Maria","Brown","student1383@university.com","Male",19,"Business",73.76,99.91,81.73,68.65,56.64,6.5,81.17,79.49,"A",17.5,"No","No","High School","Medium",9,4.1,"Pass"
"S2384","Ali","Jones","student1384@university.com","Female",22,"Business",71.08,75.3,56.58,76.62,66.77,5.17,78.43,54.29,"F",29.1,"Yes","Yes","None","Low",6,8.8,"Fail"
"S2386","Ali","Davis","student1386@university.com","Male",20,"CS",52.27,70.22,82.91,66.49,75.92,5.62,62.74,77.27,"C",29.7,"No","Yes","PhD","Medium",2,8.4,"Pass"
"S2387","Maria","Davis","student1387@university.com","Male",24,"CS",68.08,82.67,90.26,83.74,70.06,8.39,97.99,56.65,"F",9,"No","No","Master's","Medium",7,9,"Fail"
"S2388","Omar","Davis","student1388@university.com","Male",23,"CS",87.82,86.46,67.15,58.63,95.27,8.39,97.51,62.41,"A",17.1,"No","Yes","High School","High",8,7.2,"Pass"
"S2389","Ali","Johnson","student1389@university.com","Female",18,"CS",68.45,40.03,84.87,56.09,54.67,7.26,50.21,95.34,"C",12.6,"Yes","Yes","Bachelor's","Low",9,4.4,"Pass"
"S2394","Ahmed","Williams","student1394@university.com","Male",24,"CS",97.53,79.99,42.15,62.03,78.17,3.28,75.91,79.45,"A",20.7,"No","Yes","High School","Medium",1,4,"Pass"
"S2395","Emma","Williams","student1395@university.com","Male",18,"Engineering",55.44,55.96,56.98,95.56,85.43,5.47,91.98,68.42,"D",16.3,"No","Yes","High School","High",5,6.2,"Fail"
"S2397","Omar","Jones","student1397@university.com","Male",21,"Business",80.4,96.43,78.88,90.94,84.22,8.38,74.98,68.58,"B",13.8,"Yes","Yes","High School","Low",8,4.4,"Pass"
"S2398","Maria","Jones","student1398@university.com","Female",19,"Mathematics",97.45,54.43,44.41,64.3,62.8,2.32,68.19,62.44,"A",19.6,"No","Yes","PhD","Medium",5,4,"Pass"
"S2399","Ahmed","Johnson","student1399@university.com","Female",19,"CS",99.49,45.7,57.24,96.97,91.64,5.19,63.31,80.39,"B",26.2,"No","No","High School","Medium",6,6.3,"Pass"
"S2400","John","Williams","student1400@university.com","Male",21,"CS",74.21,44.16,74.17,95.72,72.48,6.59,62.97,87.27,"A",29,"Yes","Yes","High School","Low",7,4,"Pass"
"S2401","John","Smith","student1401@university.com","Male",18,"CS",73.4,70.28,59.11,52.16,99.36,9.88,78.1,76.82,"D",25,"Yes","Yes","Bachelor's","High",4,8.7,"Fail"
"S2402","Ali","Brown","student1402@university.com","Male",21,"CS",82.25,78.5,65.08,88.52,51.16,0.31,58.34,85.81,"B",28.4,"No","Yes","Master's","High",5,8.1,"Pass"
"S2404","Sara","Jones","student1404@university.com","Male",21,"Engineering",81.7,81.42,40.56,60.76,59.02,9.88,50.52,89.77,"C",24.1,"No","Yes","PhD","High",6,4.1,"Pass"
"S2405","Liam","Williams","student1405@university.com","Male",20,"Business",93.7,43.66,56.58,72.99,77.78,9.77,80.67,79.25,"B",7.4,"Yes","Yes","Master's","Low",8,6.8,"Pass"
"S2409","Sara","Jones","student1409@university.com","Female",22,"Engineering",81.98,96.19,62.59,58.53,60.54,8.67,89.28,98.2,"F",21.6,"No","Yes","Bachelor's","High",3,8.2,"Fail"
"S2410","Maria","Williams","student1410@university.com","Female",18,"Business",72.79,61.37,71.63,51.12,58.03,3.24,70.84,78.45,"A",9.3,"No","Yes","Bachelor's","Low",5,5.8,"Pass"
"S2411","Sara","Smith","student1411@university.com","Male",18,"CS",72.89,63.96,84.03,78.56,93.77,9.34,64.9,83.79,"B",10,"No","Yes","None","Medium",3,7.5,"Pass"
"S2412","Ahmed","Brown","student1412@university.com","Male",21,"Business",50.82,84.76,42.85,75.87,68.06,3.33,68.43,93.18,"F",6.5,"No","No","PhD","Low",1,6.3,"Fail"
"S2414","Sara","Williams","student1414@university.com","Male",19,"Engineering",74.43,58.84,89.93,82.49,61.05,7.22,81.69,95.61,"B",16.2,"No","Yes","High School","High",6,7.1,"Pass"
"S2415","Maria","Davis","student1415@university.com","Male",18,"Business",91.13,47.11,91.72,94.87,71.27,3.45,58.74,63.56,"A",27.2,"No","Yes","None","Medium",6,6.9,"Pass"
"S2416","Ali","Johnson","student1416@university.com","Female",23,"Engineering",63.94,67.29,62.38,72.97,61.57,3.52,88.14,52.85,"A",14.1,"No","Yes","PhD","Medium",7,6.5,"Pass"
"S2421","Ali","Williams","student1421@university.com","Male",18,"Engineering",92.73,41.2,55.45,84.47,75.28,6.77,74.94,81.97,"A",6.3,"No","No","Master's","High",2,4.8,"Pass"
"S2423","Omar","Brown","student1423@university.com","Male",20,"CS",85.99,53.3,43.13,57.44,96.72,9.36,54.52,92.22,"B",25.6,"Yes","No","PhD","Medium",2,4,"Pass"
"S2424","Liam","Johnson","student1424@university.com","Male",22,"Engineering",67.38,79.83,68.72,83.23,76.1,6.02,81.68,62.88,"F",18.9,"Yes","Yes","None","Medium",2,8.6,"Fail"
"S2426","Omar","Davis","student1426@university.com","Male",18,"CS",65.12,43.58,70.82,72.82,63.64,6,59.66,53.88,"D",20.8,"No","Yes","None","Low",8,4.3,"Fail"
"S2428","Emma","Johnson","student1428@university.com","Male",20,"CS",78.39,71.01,66.41,73.86,51.39,1.35,85.11,68.3,"A",19.4,"Yes","Yes","High School","Low",8,9,"Pass"
"S2429","Omar","Brown","student1429@university.com","Female",18,"Engineering",91.76,91.28,82.53,79.92,76.3,8.94,65.03,66.99,"B",12.9,"No","No","Master's","High",8,5,"Pass"
"S2430","Ali","Davis","student1430@university.com","Male",22,"CS",59.63,83.94,43.49,51.47,66.86,0.42,62.42,72.88,"C",11.1,"No","Yes","PhD","Medium",4,4.7,"Pass"
"S2431","Ahmed","Smith","student1431@university.com","Female",22,"CS",85.47,44.76,43.59,99.48,98.19,6.41,87.71,92.48,"A",30,"No","Yes","None","Medium",6,5,"Pass"
"S2432","Emma","Davis","student1432@university.com","Male",21,"Business",53.07,52.55,62.24,85.82,58.57,6.15,86.68,55.26,"D",26.3,"No","Yes","Master's","Low",2,6.6,"Fail"
"S2433","Maria","Williams","student1433@university.com","Male",24,"CS",95.95,58.71,51.7,71.27,89.7,2.08,57.44,76.18,"A",12,"No","Yes","PhD","Low",1,5.6,"Pass"
"S2436","Emma","Johnson","student1436@university.com","Male",21,"CS",74.54,99.06,57.24,83.61,98.48,2.72,64.71,62.84,"D",29.8,"No","Yes","Master's","High",3,8.5,"Fail"
"S2437","Ahmed","Williams","student1437@university.com","Female",23,"Engineering",72.4,70.88,82.29,65.85,90.13,8.82,64.38,72.97,"F",16.6,"Yes","No","Bachelor's","Medium",3,8.8,"Fail"
"S2438","Liam","Davis","student1438@university.com","Male",20,"Engineering",98.67,84.51,62.5,61.47,81.53,8.56,98.8,74.72,"A",10.7,"No","Yes","Master's","Low",10,6.6,"Pass"
"S2439","John","Johnson","student1439@university.com","Female",18,"Engineering",99.52,80.98,47.93,69,84.86,0.64,87.51,93.58,"A",10.8,"No","Yes","Bachelor's","High",1,5.2,"Pass"
"S2444","John","Smith","student1444@university.com","Female",19,"CS",75.72,50.29,52.5,60.94,83.33,2.57,77.65,89.64,"F",8.3,"Yes","Yes","Master's","High",4,5.1,"Fail"
"S2445","Ali","Williams","student1445@university.com","Male",24,"CS",78.47,60.81,52.07,81.84,82.88,7.39,64.27,89.9,"B",5.3,"Yes","Yes","None","Medium",8,5.6,"Pass"
"S2447","Liam","Smith","student1447@university.com","Female",22,"CS",85.56,86.85,89.55,77.4,55.44,1.36,52.48,87.69,"A",13.9,"Yes","Yes","PhD","Low",2,8.6,"Pass"
"S2448","Emma","Davis","student1448@university.com","Male",20,"Engineering",85.62,56.96,82.95,79.2,97.25,2.55,93.79,92.64,"B",23.9,"No","No","PhD","Low",7,4.9,"Pass"
"S2449","Maria","Johnson","student1449@university.com","Male",18,"CS",55.77,73.84,78.74,60.81,77.56,6.75,80.01,80.25,"C",27.1,"No","Yes","PhD","High",8,5.1,"Pass"
"S2450","Liam","Davis","student1450@university.com","Male",18,"CS",78.51,64.26,94.99,69.58,82.48,3.37,55.37,87.56,"C",20,"Yes","Yes","PhD","Low",3,7.7,"Pass"
"S2451","Ahmed","Williams","student1451@university.com","Female",24,"Business",78.42,69.4,43.5,91.36,51.74,6.04,88.32,88.81,"A",15.6,"No","Yes","High School","Low",6,8.7,"Pass"
"S2452","Liam","Smith","student1452@university.com","Male",18,"CS",84.12,61.31,50.05,57.42,98.05,2.06,87.79,75.33,"F",6,"Yes","Yes","High School","Medium",10,4.5,"Fail"
"S2454","Ali","Smith","student1454@university.com","Female",19,"Business",81.33,80.49,62.35,96.64,78.17,5.12,59.42,89.61,"C",13,"Yes","No","Master's","Low",10,8.6,"Pass"
"S2456","Emma","Davis","student1456@university.com","Female",19,"Business",75.35,92.44,52.39,86.26,96.47,1.98,66.48,96.07,"D",24.1,"Yes","No","High School","Medium",10,8.7,"Fail"
"S2457","Maria","Davis","student1457@university.com","Female",18,"Business",88.67,49.32,48.97,91.34,61.01,4.62,92.37,76.49,"B",22.8,"No","Yes","High School","Low",6,8.5,"Pass"
"S2458","Emma","Johnson","student1458@university.com","Female",23,"CS",85.28,89.37,70.55,60.19,96.55,6.93,52.18,51.57,"A",26.7,"No","No","None","High",8,5.6,"Pass"
"S2459","John","Smith","student1459@university.com","Male",20,"CS",55.95,55.29,95.68,60.91,86.83,9.65,74.96,50.96,"D",6.2,"Yes","Yes","None","Medium",1,5,"Fail"
"S2460","Ahmed","Jones","student1460@university.com","Male",22,"Engineering",79.56,65.64,63.52,87.93,50.95,7.9,58.98,96.95,"C",20.1,"Yes","No","Master's","High",2,8.5,"Pass"
"S2462","Ahmed","Davis","student1462@university.com","Female",18,"Engineering",57.84,67.27,82.37,53.01,70.65,2.73,99.86,68.88,"F",29.3,"No","Yes","Bachelor's","Medium",7,5.9,"Fail"
"S2463","John","Johnson","student1463@university.com","Female",22,"CS",92.65,51.82,57.47,66.12,79.14,0.79,70.63,73.5,"B",15.2,"No","No","Bachelor's","High",1,7.6,"Pass"
"S2464","John","Brown","student1464@university.com","Female",18,"Engineering",85.13,49.59,54.71,69.93,85.07,1.36,55.02,63.29,"A",20.6,"No","Yes","None","Medium",4,5.5,"Pass"
"S2465","Emma","Johnson","student1465@university.com","Female",18,"Engineering",88.7,68.38,59.46,91.45,60.51,2.51,65.88,79.52,"A",13.8,"No","No","Bachelor's","Low",3,6.9,"Pass"
"S2467","Emma","Williams","student1467@university.com","Male",21,"Business",64.39,99.83,89.13,96.3,92.29,2.14,88.29,62.87,"A",22.2,"No","No","PhD","Low",7,6.8,"Pass"
"S2470","Ahmed","Davis","student1470@university.com","Female",21,"Business",53.15,84.87,58.63,83.32,90.65,1.26,81.11,76.28,"D",25.6,"No","Yes","High School","Medium",4,7.3,"Fail"
"S2473","Sara","Davis","student1473@university.com","Male",18,"Business",89.83,95.8,78.29,78.66,97.66,2.36,72.56,70.14,"A",22.8,"No","Yes","High School","Medium",3,7.6,"Pass"
"S2475","Liam","Brown","student1475@university.com","Female",23,"CS",93.74,95.3,79.74,67.54,98.93,0.68,67.21,82.07,"A",23.2,"Yes","Yes","High School","Low",7,5.1,"Pass"
"S2476","Omar","Johnson","student1476@university.com","Male",20,"Engineering",89.24,44.54,66.83,84.39,51.25,5,93.75,96.02,"B",15.9,"No","No","PhD","Low",5,8.7,"Pass"
"S2477","Liam","Davis","student1477@university.com","Female",21,"CS",55.61,82.91,98.35,73.18,76.11,8.42,90.6,75.4,"C",9.1,"No","Yes","Bachelor's","Medium",10,6.8,"Pass"
"S2480","John","Johnson","student1480@university.com","Female",20,"CS",70.87,86.13,83.21,57.54,86.73,6.51,98.52,60.94,"B",25.7,"Yes","Yes","None","High",10,8.4,"Pass"
"S2481","Ahmed","Jones","student1481@university.com","Female",23,"Business",98.62,62.95,69.13,73.07,76.47,5.92,77.43,56.2,"A",22.1,"Yes","Yes","Master's","High",8,8.5,"Pass"
"S2482","Emma","Smith","student1482@university.com","Female",18,"CS",86.79,73.43,51.22,97.55,82.55,8.78,95.38,56.82,"B",23,"Yes","No","Bachelor's","Medium",7,7.6,"Pass"
"S2484","Omar","Johnson","student1484@university.com","Male",24,"Engineering",94,51.76,72.84,60.29,74.73,0.57,99.17,77.65,"B",15.7,"Yes","Yes","Bachelor's","Medium",2,4.4,"Pass"
"S2485","Omar","Brown","student1485@university.com","Male",24,"CS",55.04,54.91,41.82,69.57,79.78,3.61,90.8,56.56,"D",9.2,"No","Yes","None","Medium",10,6.3,"Fail"
"S2486","Omar","Davis","student1486@university.com","Male",24,"CS",57.03,53.32,78.8,96.39,92.32,6.71,97.46,93.28,"F",14.4,"No","Yes","PhD","Low",5,4.7,"Fail"
"S2487","Ali","Johnson","student1487@university.com","Male",21,"CS",86.72,72.93,78.1,56.18,65.64,9.52,60.62,99.14,"A",29.5,"No","Yes","Bachelor's","Medium",9,5.7,"Pass"
"S2488","Ali","Williams","student1488@university.com","Female",23,"Engineering",93.25,94.37,48.65,62.7,76.16,8.05,71.53,74.79,"A",16.2,"No","Yes","High School","Medium",10,4.9,"Pass"
"S2489","Ali","Brown","student1489@university.com","Male",23,"Engineering",76.82,94.76,60.94,63.11,50.42,1.77,54.88,72.48,"D",28.1,"No","Yes","Bachelor's","High",5,5.6,"Fail"
"S2491","Omar","Davis","student1491@university.com","Male",18,"CS",67.57,44.79,48.33,70.54,59.77,7.64,64.2,81.9,"C",23.4,"Yes","Yes","None","Low",1,7.8,"Pass"
"S2492","Omar","Brown","student1492@university.com","Female",22,"CS",67.14,54.71,91.16,53.99,74.05,4.71,97.58,80.4,"F",9.8,"No","No","High School","Low",9,4.7,"Fail"
"S2493","Sara","Jones","student1493@university.com","Female",23,"Business",66.33,55.3,41.65,81.46,60.51,5.47,83.36,67.17,"A",14.2,"No","Yes","Master's","High",2,7.3,"Pass"
"S2495","Ahmed","Davis","student1495@university.com","Male",20,"CS",80.44,63.31,46.97,80.32,74.16,1.03,97.73,82.24,"B",21.4,"No","Yes","High School","Medium",6,8.9,"Pass"
"S2496","Liam","Smith","student1496@university.com","Male",23,"Engineering",95.02,75.26,71.69,75.35,71.24,8.56,86.99,77.73,"A",26.6,"No","Yes","PhD","High",3,6.7,"Pass"
"S2499","Omar","Davis","student1499@university.com","Male",20,"Mathematics",91.93,60.32,57.32,81.96,97.36,6.27,87.54,88.98,"B",6,"Yes","Yes","Bachelor's","High",3,6.3,"Pass"
"S2500","John","Davis","student1500@university.com","Female",21,"Engineering",87.09,82.39,88.56,71.57,50.18,6.6,62.16,65.22,"A",12.5,"No","Yes","High School","Medium",8,6.6,"Pass"
"S2502","Emma","Jones","student1502@university.com","Female",22,"Business",58.28,60.78,56.82,79.82,86.85,1.13,66.25,72.5,"C",29.5,"No","Yes","High School","Low",6,4.2,"Pass"
"S2503","John","Williams","student1503@university.com","Male",19,"Business",57.21,45.13,42.35,80.31,58.6,0.21,83.59,88.88,"D",29.7,"No","Yes","Master's","Medium",10,5.7,"Fail"
"S2505","John","Jones","student1505@university.com","Female",18,"CS",80.72,48.24,61.2,56.26,99.44,3.46,58.76,62.5,"F",24.1,"No","Yes","High School","Medium",7,4.7,"Fail"
"S2506","Liam","Smith","student1506@university.com","Female",22,"CS",74.01,68.04,51.69,61.83,82.18,0.86,80.45,61.93,"B",20,"Yes","Yes","None","Medium",6,5.2,"Pass"
"S2507","Sara","Williams","student1507@university.com","Female",20,"CS",79.95,49.36,56.1,83.9,56.37,4.66,68.76,71.63,"A",22.7,"No","Yes","None","Low",9,5.2,"Pass"
"S2508","Liam","Williams","student1508@university.com","Male",20,"Engineering",59.02,67.77,89.26,78.84,72.88,0.76,62.21,52.58,"C",23.3,"Yes","Yes","Bachelor's","Low",2,8.1,"Pass"
"S2509","Maria","Brown","student1509@university.com","Male",20,"CS",73.98,53.26,49.78,87.88,73.41,0.85,50.59,84.28,"F",18.7,"No","Yes","PhD","Medium",10,7.4,"Fail"
"S2511","Omar","Johnson","student1511@university.com","Female",20,"Engineering",71.64,41.65,80.5,92.66,95.81,5.09,56.79,67.27,"A",19.6,"No","Yes","PhD","Low",10,5.5,"Pass"
"S2513","Ali","Smith","student1513@university.com","Male",23,"Engineering",72.56,50.17,72.79,67.25,65.7,6.56,80.03,79.52,"F",29.7,"No","Yes","High School","Low",5,8.3,"Fail"
"S2515","Emma","Davis","student1515@university.com","Male",22,"Business",65.18,92.15,47.7,61.88,99.8,4.33,91.43,85.56,"B",29.1,"No","Yes","Bachelor's","Low",2,7.1,"Pass"
"S2522","Ali","Smith","student1522@university.com","Female",22,"CS",99.34,93.22,48.72,62.23,72.76,0.78,80,80.5,"A",25.7,"No","Yes","PhD","Medium",2,5.7,"Pass"
